State,Facility Name,Main Facility URL,News Releases URL,Stories URL
Alabama,VA Birmingham Health Care,https://www.va.gov/birmingham-health-care/,https://www.va.gov/birmingham-health-care/news-releases/,https://www.va.gov/birmingham-health-care/stories/
Alabama,VA Central Alabama Health Care,https://www.va.gov/central-alabama-health-care/,https://www.va.gov/central-alabama-health-care/news-releases/,https://www.va.gov/central-alabama-health-care/stories/
Alabama,VA Tuscaloosa Health Care,https://www.va.gov/tuscaloosa-health-care/,https://www.va.gov/tuscaloosa-health-care/news-releases/,https://www.va.gov/tuscaloosa-health-care/stories/
Alaska,VA Alaska Health Care,https://www.va.gov/alaska-health-care/,https://www.va.gov/alaska-health-care/news-releases/,https://www.va.gov/alaska-health-care/stories/
Arizona,VA Phoenix Health Care,https://www.va.gov/phoenix-health-care/,https://www.va.gov/phoenix-health-care/news-releases/,https://www.va.gov/phoenix-health-care/stories/
Arizona,VA Southern Arizona Health Care,https://www.va.gov/southern-arizona-health-care/,https://www.va.gov/southern-arizona-health-care/news-releases/,https://www.va.gov/southern-arizona-health-care/stories/
Arizona,VA Northern Arizona Health Care,https://www.va.gov/northern-arizona-health-care/,https://www.va.gov/northern-arizona-health-care/news-releases/,https://www.va.gov/northern-arizona-health-care/stories/
Arkansas,VA Central Arkansas Health Care,https://www.va.gov/central-arkansas-health-care/,https://www.va.gov/central-arkansas-health-care/news-releases/,https://www.va.gov/central-arkansas-health-care/stories/
Arkansas,VA Fayetteville Arkansas Health Care,https://www.va.gov/fayetteville-arkansas-health-care/,https://www.va.gov/fayetteville-arkansas-health-care/news-releases/,https://www.va.gov/fayetteville-arkansas-health-care/stories/
California,VA Central California Health Care,https://www.va.gov/central-california-health-care/,https://www.va.gov/central-california-health-care/news-releases/,https://www.va.gov/central-california-health-care/stories/
California,VA Northern California Health Care,https://www.va.gov/northern-california-health-care/,https://www.va.gov/northern-california-health-care/news-releases/,https://www.va.gov/northern-california-health-care/stories/
California,VA Palo Alto Health Care,https://www.va.gov/palo-alto-health-care/,https://www.va.gov/palo-alto-health-care/news-releases/,https://www.va.gov/palo-alto-health-care/stories/
California,VA Loma Linda Health Care,https://www.va.gov/loma-linda-health-care/,https://www.va.gov/loma-linda-health-care/news-releases/,https://www.va.gov/loma-linda-health-care/stories/
California,VA Greater Los Angeles Health Care,https://www.va.gov/greater-los-angeles-health-care/,https://www.va.gov/greater-los-angeles-health-care/news-releases/,https://www.va.gov/greater-los-angeles-health-care/stories/
California,VA Long Beach Health Care,https://www.va.gov/long-beach-health-care/,https://www.va.gov/long-beach-health-care/news-releases/,https://www.va.gov/long-beach-health-care/stories/
California,VA San Diego Health Care,https://www.va.gov/san-diego-health-care/,https://www.va.gov/san-diego-health-care/news-releases/,https://www.va.gov/san-diego-health-care/stories/
California,VA San Francisco Health Care,https://www.va.gov/san-francisco-health-care/,https://www.va.gov/san-francisco-health-care/news-releases/,https://www.va.gov/san-francisco-health-care/stories/
Colorado,VA Eastern Colorado Health Care,https://www.va.gov/eastern-colorado-health-care/,https://www.va.gov/eastern-colorado-health-care/news-releases/,https://www.va.gov/eastern-colorado-health-care/stories/
Colorado,VA Western Colorado Health Care,https://www.va.gov/western-colorado-health-care/,https://www.va.gov/western-colorado-health-care/news-releases/,https://www.va.gov/western-colorado-health-care/stories/
Connecticut,VA Connecticut Health Care,https://www.va.gov/connecticut-health-care/,https://www.va.gov/connecticut-health-care/news-releases/,https://www.va.gov/connecticut-health-care/stories/
Delaware,VA Wilmington Health Care,https://www.va.gov/wilmington-health-care/,https://www.va.gov/wilmington-health-care/news-releases/,https://www.va.gov/wilmington-health-care/stories/
Florida,VA Bay Pines Health Care,https://www.va.gov/bay-pines-health-care/,https://www.va.gov/bay-pines-health-care/news-releases/,https://www.va.gov/bay-pines-health-care/stories/
Florida,VA Miami Health Care,https://www.va.gov/miami-health-care/,https://www.va.gov/miami-health-care/news-releases/,https://www.va.gov/miami-health-care/stories/
Florida,VA North Florida/South Georgia Health Care,https://www.va.gov/north-florida-health-care/,https://www.va.gov/north-florida-health-care/news-releases/,https://www.va.gov/north-florida-health-care/stories/
Florida,VA Orlando Health Care,https://www.va.gov/orlando-health-care/,https://www.va.gov/orlando-health-care/news-releases/,https://www.va.gov/orlando-health-care/stories/
Florida,VA Tampa Health Care,https://www.va.gov/tampa-health-care/,https://www.va.gov/tampa-health-care/news-releases/,https://www.va.gov/tampa-health-care/stories/
Florida,VA West Palm Beach Health Care,https://www.va.gov/west-palm-beach-health-care/,https://www.va.gov/west-palm-beach-health-care/news-releases/,https://www.va.gov/west-palm-beach-health-care/stories/
Georgia,VA Atlanta Health Care,https://www.va.gov/atlanta-health-care/,https://www.va.gov/atlanta-health-care/news-releases/,https://www.va.gov/atlanta-health-care/stories/
Georgia,VA Augusta Health Care,https://www.va.gov/augusta-health-care/,https://www.va.gov/augusta-health-care/news-releases/,https://www.va.gov/augusta-health-care/stories/
Georgia,VA Dublin Health Care,https://www.va.gov/dublin-health-care/,https://www.va.gov/dublin-health-care/news-releases/,https://www.va.gov/dublin-health-care/stories/
Hawaii/Pacific,VA Pacific Islands Health Care,https://www.va.gov/pacific-islands-health-care/,https://www.va.gov/pacific-islands-health-care/news-releases/,https://www.va.gov/pacific-islands-health-care/stories/
Idaho,VA Boise Health Care,https://www.va.gov/boise-health-care/,https://www.va.gov/boise-health-care/news-releases/,https://www.va.gov/boise-health-care/stories/
Illinois,VA Chicago Health Care,https://www.va.gov/chicago-health-care/,https://www.va.gov/chicago-health-care/news-releases/,https://www.va.gov/chicago-health-care/stories/
Illinois,VA Hines Health Care,https://www.va.gov/hines-health-care/,https://www.va.gov/hines-health-care/news-releases/,https://www.va.gov/hines-health-care/stories/
Illinois,VA Illiana Health Care,https://www.va.gov/illiana-health-care/,https://www.va.gov/illiana-health-care/news-releases/,https://www.va.gov/illiana-health-care/stories/
Illinois,VA Lovell Federal Health Care,https://www.va.gov/lovell-federal-health-care-va/,https://www.va.gov/lovell-federal-health-care-va/news-releases/,https://www.va.gov/lovell-federal-health-care-va/stories/
Indiana,VA Indiana Health Care,https://www.va.gov/indiana-health-care/,https://www.va.gov/indiana-health-care/news-releases/,https://www.va.gov/indiana-health-care/stories/
Indiana,VA Northern Indiana Health Care,https://www.va.gov/northern-indiana-health-care/,https://www.va.gov/northern-indiana-health-care/news-releases/,https://www.va.gov/northern-indiana-health-care/stories/
Iowa,VA Central Iowa Health Care,https://www.va.gov/central-iowa-health-care/,https://www.va.gov/central-iowa-health-care/news-releases/,https://www.va.gov/central-iowa-health-care/stories/
Iowa,VA Iowa City Health Care,https://www.va.gov/iowa-city-health-care/,https://www.va.gov/iowa-city-health-care/news-releases/,https://www.va.gov/iowa-city-health-care/stories/
Kansas,VA Eastern Kansas Health Care,https://www.va.gov/eastern-kansas-health-care/,https://www.va.gov/eastern-kansas-health-care/news-releases/,https://www.va.gov/eastern-kansas-health-care/stories/
Kansas,VA Wichita Health Care,https://www.va.gov/wichita-health-care/,https://www.va.gov/wichita-health-care/news-releases/,https://www.va.gov/wichita-health-care/stories/
Kentucky,VA Lexington Health Care,https://www.va.gov/lexington-health-care/,https://www.va.gov/lexington-health-care/news-releases/,https://www.va.gov/lexington-health-care/stories/
Kentucky,VA Louisville Health Care,https://www.va.gov/louisville-health-care/,https://www.va.gov/louisville-health-care/news-releases/,https://www.va.gov/louisville-health-care/stories/
Louisiana,VA Alexandria Health Care,https://www.va.gov/alexandria-health-care/,https://www.va.gov/alexandria-health-care/news-releases/,https://www.va.gov/alexandria-health-care/stories/
Louisiana,VA Shreveport Health Care,https://www.va.gov/shreveport-health-care/,https://www.va.gov/shreveport-health-care/news-releases/,https://www.va.gov/shreveport-health-care/stories/
Louisiana,VA Southeast Louisiana Health Care,https://www.va.gov/southeast-louisiana-health-care/,https://www.va.gov/southeast-louisiana-health-care/news-releases/,https://www.va.gov/southeast-louisiana-health-care/stories/
Maine,VA Maine Health Care,https://www.va.gov/maine-health-care/,https://www.va.gov/maine-health-care/news-releases/,https://www.va.gov/maine-health-care/stories/
Maryland,VA Maryland Health Care,https://www.va.gov/maryland-health-care/,https://www.va.gov/maryland-health-care/news-releases/,https://www.va.gov/maryland-health-care/stories/
Massachusetts,VA Bedford Health Care,https://www.va.gov/bedford-health-care/,https://www.va.gov/bedford-health-care/news-releases/,https://www.va.gov/bedford-health-care/stories/
Massachusetts,VA Boston Health Care,https://www.va.gov/boston-health-care/,https://www.va.gov/boston-health-care/news-releases/,https://www.va.gov/boston-health-care/stories/
Massachusetts,VA Central Western Massachusetts Health Care,https://www.va.gov/central-western-massachusetts-health-care/,https://www.va.gov/central-western-massachusetts-health-care/news-releases/,https://www.va.gov/central-western-massachusetts-health-care/stories/
Michigan,VA Ann Arbor Health Care,https://www.va.gov/ann-arbor-health-care/,https://www.va.gov/ann-arbor-health-care/news-releases/,https://www.va.gov/ann-arbor-health-care/stories/
Michigan,VA Battle Creek Health Care,https://www.va.gov/battle-creek-health-care/,https://www.va.gov/battle-creek-health-care/news-releases/,https://www.va.gov/battle-creek-health-care/stories/
Michigan,VA Detroit Health Care,https://www.va.gov/detroit-health-care/,https://www.va.gov/detroit-health-care/news-releases/,https://www.va.gov/detroit-health-care/stories/
Michigan,VA Iron Mountain Health Care,https://www.va.gov/iron-mountain-health-care/,https://www.va.gov/iron-mountain-health-care/news-releases/,https://www.va.gov/iron-mountain-health-care/stories/
Michigan,VA Saginaw Health Care,https://www.va.gov/saginaw-health-care/,https://www.va.gov/saginaw-health-care/news-releases/,https://www.va.gov/saginaw-health-care/stories/
Minnesota,VA Minneapolis Health Care,https://www.va.gov/minneapolis-health-care/,https://www.va.gov/minneapolis-health-care/news-releases/,https://www.va.gov/minneapolis-health-care/stories/
Minnesota,VA St Cloud Health Care,https://www.va.gov/st-cloud-health-care/,https://www.va.gov/st-cloud-health-care/news-releases/,https://www.va.gov/st-cloud-health-care/stories/
Mississippi,VA Gulf Coast Health Care,https://www.va.gov/gulf-coast-health-care/,https://www.va.gov/gulf-coast-health-care/news-releases/,https://www.va.gov/gulf-coast-health-care/stories/
Mississippi,VA Jackson Health Care,https://www.va.gov/jackson-health-care/,https://www.va.gov/jackson-health-care/news-releases/,https://www.va.gov/jackson-health-care/stories/
Missouri,VA Columbia Missouri Health Care,https://www.va.gov/columbia-missouri-health-care/,https://www.va.gov/columbia-missouri-health-care/news-releases/,https://www.va.gov/columbia-missouri-health-care/stories/
Missouri,VA Kansas City Health Care,https://www.va.gov/kansas-city-health-care/,https://www.va.gov/kansas-city-health-care/news-releases/,https://www.va.gov/kansas-city-health-care/stories/
Missouri,VA Poplar Bluff Health Care,https://www.va.gov/poplar-bluff-health-care/,https://www.va.gov/poplar-bluff-health-care/news-releases/,https://www.va.gov/poplar-bluff-health-care/stories/
Missouri,VA St Louis Health Care,https://www.va.gov/st-louis-health-care/,https://www.va.gov/st-louis-health-care/news-releases/,https://www.va.gov/st-louis-health-care/stories/
Montana,VA Montana Health Care,https://www.va.gov/montana-health-care/,https://www.va.gov/montana-health-care/news-releases/,https://www.va.gov/montana-health-care/stories/
Nebraska,VA Nebraska-Western Iowa Health Care,https://www.va.gov/nebraska-western-iowa-health-care/,https://www.va.gov/nebraska-western-iowa-health-care/news-releases/,https://www.va.gov/nebraska-western-iowa-health-care/stories/
Nevada,VA Sierra Nevada Health Care,https://www.va.gov/sierra-nevada-health-care/,https://www.va.gov/sierra-nevada-health-care/news-releases/,https://www.va.gov/sierra-nevada-health-care/stories/
Nevada,VA Southern Nevada Health Care,https://www.va.gov/southern-nevada-health-care/,https://www.va.gov/southern-nevada-health-care/news-releases/,https://www.va.gov/southern-nevada-health-care/stories/
New Hampshire,VA Manchester Health Care,https://www.va.gov/manchester-health-care/,https://www.va.gov/manchester-health-care/news-releases/,https://www.va.gov/manchester-health-care/stories/
New Jersey,VA New Jersey Health Care,https://www.va.gov/new-jersey-health-care/,https://www.va.gov/new-jersey-health-care/news-releases/,https://www.va.gov/new-jersey-health-care/stories/
New Mexico,VA New Mexico Health Care,https://www.va.gov/new-mexico-health-care/,https://www.va.gov/new-mexico-health-care/news-releases/,https://www.va.gov/new-mexico-health-care/stories/
New York,VA Albany Health Care,https://www.va.gov/albany-health-care/,https://www.va.gov/albany-health-care/news-releases/,https://www.va.gov/albany-health-care/stories/
New York,VA Bronx Health Care,https://www.va.gov/bronx-health-care/,https://www.va.gov/bronx-health-care/news-releases/,https://www.va.gov/bronx-health-care/stories/
New York,VA Finger Lakes Health Care,https://www.va.gov/finger-lakes-health-care/,https://www.va.gov/finger-lakes-health-care/news-releases/,https://www.va.gov/finger-lakes-health-care/stories/
New York,VA Hudson Valley Health Care,https://www.va.gov/hudson-valley-health-care/,https://www.va.gov/hudson-valley-health-care/news-releases/,https://www.va.gov/hudson-valley-health-care/stories/
New York,VA Northport Health Care,https://www.va.gov/northport-health-care/,https://www.va.gov/northport-health-care/news-releases/,https://www.va.gov/northport-health-care/stories/
New York,VA Syracuse Health Care,https://www.va.gov/syracuse-health-care/,https://www.va.gov/syracuse-health-care/news-releases/,https://www.va.gov/syracuse-health-care/stories/
New York,VA Western New York Health Care,https://www.va.gov/western-new-york-health-care/,https://www.va.gov/western-new-york-health-care/news-releases/,https://www.va.gov/western-new-york-health-care/stories/
